,target
0,1
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,1
9,1
10,1
11,1
12,0
13,0
14,0
15,0
16,1
17,0
18,1
19,1
20,0
21,0
22,1
23,1
24,0
25,0
26,0
27,1
28,1
29,1
30,0
31,1
32,1
33,0
34,1
35,1
36,0
37,0
38,1
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,0
61,1
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,1
70,1
71,0
72,0
73,0
74,1
75,0
76,0
77,0
78,0
79,1
80,0
81,1
82,1
83,1
84,1
85,0
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,1
95,0
96,1
97,0
98,1
99,0
100,1
101,1
102,0
103,0
104,1
105,1
106,1
107,0
108,0
109,1
110,1
111,0
112,0
113,0
114,0
115,1
116,0
117,1
118,1
119,1
120,1
121,1
122,1
123,0
124,1
125,0
126,1
127,0
128,1
129,1
130,1
131,0
132,1
133,1
134,0
135,0
136,1
137,0
138,0
139,0
140,0
141,0
142,1
143,1
144,1
145,0
146,0
147,1
148,1
149,1
150,1
151,0
152,0
153,0
154,1
155,1
156,0
157,1
158,0
159,1
160,1
161,1
162,1
163,1
164,1
165,0
166,0
167,1
168,0
169,1
170,1
171,1
172,1
173,1
174,0
175,1
176,1
177,1
178,0
179,1
180,0
181,1
182,1
183,1
184,0
185,1
186,0
187,0
188,0
189,1
190,1
191,0
192,0
193,0
194,1
195,0
196,1
197,1
198,1
199,0
200,1
201,1
202,0
203,1
204,1
205,0
206,0
207,1
208,0
209,1
210,0
211,1
212,0
213,1
214,0
215,1
216,0
217,0
218,1
219,0
220,1
221,1
222,1
223,0
224,0
225,0
226,0
227,1
228,1
229,1
230,0
231,0
232,1
233,0
234,1
235,0
236,1
237,0
238,1
239,0
240,0
241,1
242,0
243,1
244,0
245,1
246,1
247,0
248,0
249,1
250,1
251,0
252,0
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,0
261,0
262,1
263,1
264,0
265,1
266,0
267,1
268,0
269,0
270,0
271,1
272,0
273,1
274,1
275,0
276,1
277,0
278,1
279,1
280,0
281,1
282,1
283,1
284,1
285,0
286,1
287,0
288,0
289,0
290,0
291,1
292,0
293,0
294,0
295,0
296,1
297,0
298,1
299,0
300,0
301,0
302,0
303,0
304,1
305,1
306,0
307,0
308,1
309,0
310,1
311,0
312,0
313,0
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,0
322,0
323,0
324,1
325,1
326,0
327,0
328,1
329,0
330,0
331,0
332,1
333,0
334,1
335,0
336,0
337,0
338,1
339,1
340,0
341,0
342,0
343,1
344,1
345,0
346,1
347,1
348,0
349,0
350,1
351,0
352,0
353,0
354,1
355,1
356,0
357,0
358,0
359,0
360,0
361,0
362,1
363,0
364,0
365,0
366,0
367,0
368,1
369,1
370,0
371,0
372,1
373,1
374,1
375,0
376,1
377,0
378,0
379,0
380,1
381,0
382,1
383,1
384,1
385,0
386,0
387,1
388,1
389,0
390,1
391,1
392,0
393,1
394,1
395,0
396,1
397,0
398,1
399,0
400,0
401,1
402,0
403,1
404,1
405,0
406,1
407,0
408,1
409,1
410,0
411,1
412,0
413,0
414,1
415,0
416,0
417,0
418,1
419,0
420,1
421,0
422,1
423,0
424,0
425,0
426,0
427,0
428,1
429,0
430,1
431,0
432,1
433,0
434,1
435,0
436,1
437,0
438,1
439,0
440,1
441,0
442,1
443,0
444,0
445,1
446,0
447,0
448,0
449,1
450,0
451,1
452,0
453,1
454,1
455,1
456,0
457,1
458,0
459,0
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,1
469,0
470,0
471,1
472,1
473,0
474,0
475,1
476,1
477,1
478,0
479,1
480,1
481,1
482,0
483,1
484,0
485,1
486,1
487,1
488,0
489,0
490,0
491,1
492,0
493,1
494,1
495,0
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,0
504,0
505,0
506,1
507,0
508,0
509,0
510,0
511,1
512,0
513,0
514,0
515,1
516,0
517,1
518,0
519,1
520,0
521,1
522,0
523,1
524,0
525,1
526,0
527,0
528,1
529,1
530,1
531,0
532,0
533,1
534,1
535,0
536,1
537,1
538,1
539,1
540,0
541,1
542,0
543,0
544,1
545,0
546,0
547,0
548,1
549,0
550,1
551,1
552,1
553,0
554,1
555,1
556,0
557,1
558,0
559,1
560,1
561,1
562,1
563,1
564,0
565,0
566,1
567,0
568,1
569,0
570,0
571,1
572,1
573,0
574,0
575,0
576,1
577,1
578,1
579,0
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,0
588,1
589,1
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,1
601,0
602,0
603,1
604,1
605,1
606,1
607,0
608,0
609,1
610,0
611,0
612,0
613,0
614,1
615,0
616,0
617,1
618,0
619,1
620,1
621,1
622,0
623,1
624,0
625,0
626,0
627,1
628,0
629,1
630,1
631,0
632,0
633,0
634,1
635,0
636,0
637,0
638,0
639,1
640,0
641,1
642,1
643,1
644,0
645,0
646,1
647,1
648,1
649,1
650,0
651,0
652,0
653,1
654,1
655,1
656,0
657,1
658,0
659,0
660,1
661,0
662,0
663,0
664,0
665,1
666,0
667,0
668,0
669,1
670,1
671,1
672,0
673,0
674,0
675,0
676,1
677,0
678,1
679,0
680,0
681,1
682,1
683,0
684,0
685,0
686,0
687,0
688,1
689,0
690,0
691,0
692,0
693,0
694,1
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,1
703,0
704,1
705,0
706,0
707,1
708,1
709,1
710,1
711,0
712,0
713,1
714,1
715,0
716,1
717,1
718,0
719,0
720,1
721,0
722,1
723,1
724,0
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,0
733,1
734,1
735,0
736,1
737,0
738,1
739,0
740,0
741,1
742,0
743,1
744,1
745,1
746,0
747,1
748,1
749,0
750,0
751,1
752,1
753,1
754,1
755,1
756,1
757,0
758,0
759,1
760,1
761,0
762,0
763,1
764,1
765,0
766,0
767,0
768,1
769,0
770,1
771,0
772,1
773,1
774,0
775,1
776,0
777,0
778,0
779,0
780,1
781,0
782,0
783,1
784,1
785,1
786,0
787,0
788,0
789,0
790,1
791,1
792,1
793,1
794,0
795,0
796,0
797,0
798,0
799,1
800,1
801,0
802,1
803,1
804,1
805,0
806,1
807,0
808,1
809,1
810,1
811,0
812,1
813,1
814,1
815,0
816,1
817,1
818,1
819,1
820,0
821,0
822,0
823,1
824,1
825,0
826,0
827,0
828,1
829,1
830,0
831,1
832,0
833,0
834,0
835,1
836,1
837,1
838,1
839,0
840,0
841,1
842,0
843,1
844,1
845,1
846,0
847,0
848,1
849,0
850,1
851,0
852,0
853,0
854,0
855,1
856,1
857,1
858,0
859,1
860,0
861,1
862,1
863,0
864,0
865,1
866,1
867,0
868,0
869,0
870,0
871,0
872,0
873,1
874,1
875,1
876,0
877,0
878,1
879,1
880,0
881,1
882,0
883,1
884,1
885,1
886,1
887,0
888,0
889,0
890,1
891,0
892,0
893,0
894,1
895,1
896,0
897,0
898,1
899,0
900,1
901,1
902,0
903,0
904,1
905,0
906,0
907,1
908,0
909,0
910,0
911,0
912,1
913,0
914,0
915,0
916,0
917,1
918,1
919,0
920,1
921,0
922,0
923,1
924,0
925,1
926,1
927,0
928,1
929,1
930,0
931,0
932,0
933,1
934,1
935,1
936,0
937,1
938,1
939,1
940,1
941,1
942,0
943,1
944,1
945,0
946,1
947,1
948,0
949,0
950,1
951,0
952,0
953,1
954,1
955,1
956,1
957,1
958,0
959,0
960,1
961,0
962,1
963,1
964,0
965,0
966,0
967,1
968,0
969,0
970,0
971,1
972,0
973,1
974,0
975,0
976,1
977,0
978,0
979,1
980,1
981,0
982,1
983,1
984,0
985,1
986,1
987,1
988,1
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,1
997,1
998,0
999,0
1000,0
1001,0
1002,0
1003,1
1004,0
1005,0
1006,0
1007,0
1008,1
1009,0
1010,1
1011,1
1012,1
1013,1
1014,1
1015,0
1016,0
1017,1
1018,0
1019,1
1020,1
1021,0
1022,0
1023,0
1024,1
1025,1
1026,0
1027,0
1028,1
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1
1038,1
1039,1
1040,1
1041,1
1042,0
1043,0
1044,0
1045,1
1046,0
1047,0
1048,1
1049,1
1050,0
1051,0
1052,1
1053,0
1054,0
1055,0
1056,0
1057,1
1058,1
1059,1
1060,1
1061,0
1062,1
1063,1
1064,1
1065,1
1066,1
1067,0
1068,0
1069,0
1070,0
1071,0
1072,1
1073,0
1074,0
1075,0
1076,0
1077,0
1078,1
1079,0
1080,0
1081,0
1082,1
1083,1
1084,0
1085,1
1086,0
1087,1
1088,1
1089,0
1090,1
1091,0
1092,1
1093,0
1094,0
1095,1
1096,0
1097,1
1098,1
1099,1
1100,0
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,0
1108,0
1109,0
1110,1
1111,0
1112,1
1113,0
1114,1
1115,1
1116,1
1117,1
1118,0
1119,0
1120,1
1121,0
1122,1
1123,1
1124,0
1125,1
1126,1
1127,0
1128,1
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,1
1137,1
1138,0
1139,1
1140,0
1141,0
1142,0
1143,0
1144,1
1145,1
1146,0
1147,1
1148,1
1149,1
1150,1
1151,0
1152,0
1153,1
1154,0
1155,1
1156,0
1157,1
1158,1
1159,1
1160,1
1161,0
1162,0
1163,0
1164,0
1165,1
1166,1
1167,0
1168,0
1169,0
1170,0
1171,0
1172,1
1173,0
1174,1
1175,1
1176,0
1177,0
1178,1
1179,1
1180,1
1181,0
1182,1
1183,1
1184,0
1185,0
1186,0
1187,0
1188,1
1189,0
1190,1
1191,0
1192,0
1193,0
1194,1
1195,0
1196,1
1197,0
1198,1
1199,0
1200,0
1201,0
1202,0
1203,0
1204,1
1205,1
1206,0
1207,0
1208,1
1209,1
1210,1
1211,0
1212,1
1213,1
1214,0
1215,0
1216,0
1217,0
1218,1
1219,0
1220,1
1221,1
1222,1
1223,0
1224,0
1225,1
1226,0
1227,1
1228,0
1229,1
1230,0
